Date : 2020-05-23 23:34:44
Directory : /Users/kroonhugo/Desktop/React/jobbify
Total : 65 files,  13373 codes, 456 comments, 386 blanks, all 14215 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| JSON        |         10 |     11,280 |          0 |          8 |     11,288 |
| JavaScript  |         33 |      1,432 |        281 |        227 |      1,940 |
| Java        |          5 |        242 |         38 |         39 |        319 |
| Groovy      |          3 |        134 |        116 |         29 |        279 |
| Objective-C |          3 |        110 |          0 |         33 |        143 |
| XML         |          6 |         85 |          2 |         12 |         99 |
| Batch       |          1 |         76 |          0 |         25 |        101 |
| Properties  |          3 |          9 |         19 |          9 |         37 |
| C++         |          1 |          5 |          0 |          4 |          9 |
+-------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |         65 |     13,373 |        456 |        386 |     14,215 |
| .expo                                                                                                 |          3 |         26 |          0 |          3 |         29 |
| .expo-shared                                                                                          |          1 |          6 |          0 |          1 |          7 |
| __tests__                                                                                             |          1 |          7 |          4 |          4 |         15 |
| android                                                                                               |         16 |        502 |        175 |        112 |        789 |
| android/app                                                                                           |         11 |        376 |        151 |         73 |        600 |
| android/app/src                                                                                       |         10 |        284 |         40 |         50 |        374 |
| android/app/src/debug                                                                                 |          2 |         65 |          8 |          9 |         82 |
| android/app/src/debug/java                                                                            |          1 |         59 |          8 |          6 |         73 |
| android/app/src/debug/java/com                                                                        |          1 |         59 |          8 |          6 |         73 |
| android/app/src/debug/java/com/jobbify                                                                |          1 |         59 |          8 |          6 |         73 |
| android/app/src/main                                                                                  |          8 |        219 |         32 |         41 |        292 |
| android/app/src/main/java                                                                             |          4 |        183 |         30 |         33 |        246 |
| android/app/src/main/java/com                                                                         |          2 |         72 |         17 |         13 |        102 |
| android/app/src/main/java/com/jobbify                                                                 |          2 |         72 |         17 |         13 |        102 |
| android/app/src/main/java/jobbify                                                                     |          2 |        111 |         13 |         20 |        144 |
| android/app/src/main/res                                                                              |          3 |         12 |          2 |          4 |         18 |
| android/app/src/main/res/values                                                                       |          3 |         12 |          2 |          4 |         18 |
| android/gradle                                                                                        |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                |          1 |          5 |          0 |          1 |          6 |
| api                                                                                                   |          1 |          6 |          0 |          2 |          8 |
| components                                                                                            |          7 |        193 |          0 |         39 |        232 |
| components/__tests__                                                                                  |          1 |          7 |          0 |          4 |         11 |
| constants                                                                                             |          2 |         23 |          0 |          5 |         28 |
| ios                                                                                                   |          7 |        217 |          0 |         40 |        257 |
| ios/jobbify                                                                                           |          6 |        166 |          0 |         25 |        191 |
| ios/jobbify/Base.lproj                                                                                |          1 |         43 |          0 |          1 |         44 |
| ios/jobbify/Images.xcassets                                                                           |          2 |         59 |          0 |          2 |         61 |
| ios/jobbify/Images.xcassets/AppIcon.appiconset                                                        |          1 |         53 |          0 |          1 |         54 |
| ios/jobbifyTests                                                                                      |          1 |         51 |          0 |         15 |         66 |
| navigation                                                                                            |          2 |         56 |          3 |          9 |         68 |
| screens                                                                                               |          2 |        233 |          0 |         22 |        255 |
| sources                                                                                               |          5 |        146 |          0 |         19 |        165 |
| views                                                                                                 |          7 |        683 |         29 |        103 |        815 |
| views/Login                                                                                           |          1 |         49 |          0 |          9 |         58 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                              | language    | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| /Users/kroonhugo/Desktop/React/jobbify/.eslintrc.js                                                   | JavaScript  |          4 |          0 |          1 |          5 |
| /Users/kroonhugo/Desktop/React/jobbify/.expo-shared/assets.json                                       | JSON        |          6 |          0 |          1 |          7 |
| /Users/kroonhugo/Desktop/React/jobbify/.expo/packager-info 2.json                                     | JSON        |          9 |          0 |          1 |         10 |
| /Users/kroonhugo/Desktop/React/jobbify/.expo/packager-info.json                                       | JSON        |          9 |          0 |          1 |         10 |
| /Users/kroonhugo/Desktop/React/jobbify/.expo/settings.json                                            | JSON        |          8 |          0 |          1 |          9 |
| /Users/kroonhugo/Desktop/React/jobbify/.gitattributes                                                 | Properties  |          1 |          0 |          1 |          2 |
| /Users/kroonhugo/Desktop/React/jobbify/.prettierrc.js                                                 | JavaScript  |          6 |          0 |          1 |          7 |
| /Users/kroonhugo/Desktop/React/jobbify/.watchmanconfig                                                | JSON        |          1 |          0 |          0 |          1 |
| /Users/kroonhugo/Desktop/React/jobbify/App.js                                                         | JavaScript  |         58 |        236 |         16 |        310 |
| /Users/kroonhugo/Desktop/React/jobbify/__tests__/App-test.js                                          | JavaScript  |          7 |          4 |          4 |         15 |
| /Users/kroonhugo/Desktop/React/jobbify/android/app/build.gradle                                       | Groovy      |         92 |        111 |         23 |        226 |
| /Users/kroonhugo/Desktop/React/jobbify/android/app/src/debug/AndroidManifest.xml                      | XML         |          6 |          0 |          3 |          9 |
